title,listed_in,rating,duration,seasons,International TV Shows, TV Dramas, TV Mysteries,Crime TV Shows, International TV Shows, TV Action & Adventure,Docuseries, Reality TV, Romantic TV Shows, TV Comedies,TV Dramas, TV Horror,British TV Shows, Docuseries, Crime TV Shows,TV Comedies, Spanish-Language TV Shows, TV Thrillers,Kids' TV, TV Sci-Fi & Fantasy,Reality TV,Anime Series, Kids' TV, Korean TV Shows, Science & Nature TV, Teen TV Shows,TV Shows,TV Action & Adventure,Stand-Up Comedy & Talk Shows,Classic & Cult TV, Stand-Up Comedy & Talk Shows,Romantic TV Shows,TV Horror,Spanish-Language TV Shows, Classic & Cult TV,TV Sci-Fi & Fantasy,Cluster,PCA1,PCA2,Cluster_Label
Tayo and Little Wizards,"[""Kids' TV""]",7,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891974396339669,2.6806734455657373,Drama-heavy Long Series
Angry Birds,"[""Kids' TV"", ' TV Comedies']",7,1 Season,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5055808129653605,3.2544040162246954,Drama-heavy Long Series
Chhota Bheem,"[""Kids' TV""]",7,3 Seasons,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9457867741369141,2.896977229676713,Drama-heavy Long Series
He-Man and the Masters of the Universe,"[""Kids' TV"", ' TV Sci-Fi & Fantasy']",7,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.607036762155319,3.333617370691977,Drama-heavy Long Series
The Smart Money Woman,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",4,1 Season,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3719912988662215,0.23037778410382917,Short Comedies
Castle and Castle,"['International TV Shows', ' TV Dramas']",4,2 Seasons,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5312530984619415,-0.3356929078798005,Mixed Genre Epics
Dharmakshetra,"['International TV Shows', ' TV Dramas', ' TV Sci-Fi & Fantasy']",5,1 Season,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.7051460992914893,0.5103637374272958,Mixed Genre Epics
Nailed It,['Reality TV'],5,6 Seasons,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.5163851887474653,1.435647097651672,Family/Kids Shows
Numberblocks,"[""Kids' TV""]",6,6 Seasons,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8885545185793571,2.9201682936068325,Drama-heavy Long Series
Raja Rasoi Aur Anya Kahaniyan,"['Docuseries', ' International TV Shows']",3,1 Season,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2997244845219835,-0.9162946714714371,Family/Kids Shows
Saved by the Bell,"[""Kids' TV"", ' TV Comedies']",5,9 Seasons,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4449286796474914,3.517089928195911,Drama-heavy Long Series
Stories by Rabindranath Tagore,"['International TV Shows', ' TV Dramas']",5,1 Season,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.4202084651071392,-0.14258018769894426,Mixed Genre Epics
Too Hot To Handle: Latino,"['International TV Shows', ' Reality TV', ' Romantic TV Shows']",4,1 Season,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.9265897218767376,-0.6533660236276095,Short Comedies
Jack Whitehall: Travels with My Father,"['British TV Shows', ' Docuseries', ' International TV Shows']",4,5 Seasons,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3.173028169439471,-1.3780975644135764,Family/Kids Shows
The World's Most Amazing Vacation Rentals,['Reality TV'],5,2 Seasons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.40876043315297517,1.00303952942972,Family/Kids Shows
Yowamushi Pedal,"['Anime Series', ' International TV Shows']",2,1 Season,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.3217079523328674,-1.4897817414986598,Family/Kids Shows
Lucifer,"['Crime TV Shows', ' TV Comedies', ' TV Dramas']",2,6 Seasons,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5122851932206374,-0.5041161586723575,Mixed Genre Epics
Metal Shop Masters,['Reality TV'],4,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.24390342200092782,0.593623025137888,Family/Kids Shows
Pokémon Master Journeys: The Series,"['Anime Series', "" Kids' TV""]",7,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.096426818868164,1.626786114664304,Family/Kids Shows
Titipo Titipo,"[""Kids' TV"", ' Korean TV Shows']",6,2 Seasons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016664478856533084,2.3374365081734276,Drama-heavy Long Series
Mighty Raju,"[""Kids' TV""]",7,4 Seasons,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9726929630355369,3.005129121732201,Drama-heavy Long Series
Into the Night,"['International TV Shows', ' TV Dramas', ' TV Mysteries']",4,2 Seasons,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0136487126751255,-0.40060292760186944,Mixed Genre Epics
The Circle,['Reality TV'],4,3 Seasons,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.2977157997981729,0.8099268092488637,Family/Kids Shows
Kid Cosmic,"[""Kids' TV"", ' TV Comedies', ' TV Sci-Fi & Fantasy']",7,2 Seasons,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24754936767963318,4.015499833406425,Drama-heavy Long Series
Octonauts: Above & Beyond,"['British TV Shows', "" Kids' TV""]",6,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.355972438072599,1.1953604167599923,Family/Kids Shows
On the Verge,"['TV Comedies', ' TV Dramas']",4,1 Season,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4513462717549537,0.12178008555043716,Mixed Genre Epics
Tobot Galaxy Detectives,"[""Kids' TV""]",7,2 Seasons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9188805852382916,2.788825337621225,Drama-heavy Long Series
Countdown: Inspiration4 Mission to Space,"['Docuseries', ' Science & Nature TV']",2,1 Season,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,-1.2586778323961658,-0.4860020881793351,Family/Kids Shows
Tayo the Little Bus,"[""Kids' TV"", ' Korean TV Shows']",6,2 Seasons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016664478856533084,2.3374365081734276,Drama-heavy Long Series
Bunk'd,"[""Kids' TV"", ' TV Comedies']",3,5 Seasons,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06140227954615182,2.4819531355012714,Drama-heavy Long Series
Dive Club,"[""Kids' TV"", ' TV Dramas', ' Teen TV Shows']",3,1 Season,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.47387196302993656,0.9989184377982089,Mixed Genre Epics
La casa de papel,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']",4,5 Seasons,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.3936008446731434,-1.5601639018068263,Family/Kids Shows
Money Heist: From Tokyo to Berlin,"['Docuseries', ' International TV Shows', ' Spanish-Language TV Shows']",4,1 Season,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.3284577964229518,-1.1670583878625413,Family/Kids Shows
